Pclass,Gender,Age,SibSp,ParCh,Fare,Embarked,Status
1,Female,29.0,0,0,211.34,Southampton,S
1,Male,0.9,1,2,151.55,Southampton,S
1,Female,2.0,1,2,151.55,Southampton,D
1,Male,30.0,1,2,151.55,Southampton,D
1,Female,25.0,1,2,151.55,Southampton,D
1,Male,48.0,0,0,26.55,Southampton,S
1,Female,63.0,1,0,77.96,Southampton,S
1,Male,39.0,0,0,0.00,Southampton,D
1,Female,53.0,2,0,51.48,Southampton,S
1,Male,71.0,0,0,49.50,Cherbourg,D
1,Male,47.0,1,0,227.53,Cherbourg,D
1,Female,18.0,1,0,227.53,Cherbourg,S
1,Female,24.0,0,0,69.30,Cherbourg,S
1,Female,26.0,0,0,78.85,Southampton,S
1,Male,80.0,0,0,30.00,Southampton,S
1,Male,,0,0,25.93,Southampton,D
1,Male,24.0,0,1,247.52,Cherbourg,D
1,Female,50.0,0,1,247.52,Cherbourg,S
1,Female,32.0,0,0,76.29,Cherbourg,S
1,Male,36.0,0,0,75.24,Cherbourg,D
1,Male,37.0,1,1,52.55,Southampton,S
1,Female,47.0,1,1,52.55,Southampton,S
1,Male,26.0,0,0,30.00,Cherbourg,S
1,Female,42.0,0,0,227.53,Cherbourg,S
1,Female,29.0,0,0,221.78,Southampton,S
1,Male,25.0,0,0,26.00,Cherbourg,D
1,Male,25.0,1,0,91.08,Cherbourg,S
1,Female,19.0,1,0,91.08,Cherbourg,S
1,Female,35.0,0,0,135.63,Southampton,S
1,Male,28.0,0,0,26.55,Southampton,S
1,Male,45.0,0,0,35.50,Southampton,D
1,Male,40.0,0,0,31.00,Cherbourg,S
1,Female,30.0,0,0,164.87,Southampton,S
1,Female,58.0,0,0,26.55,Southampton,S
1,Male,42.0,0,0,26.55,Southampton,D
1,Female,45.0,0,0,262.38,Cherbourg,S
1,Female,22.0,0,1,55.00,Southampton,S
1,Male,,0,0,26.55,Southampton,S
1,Male,41.0,0,0,30.50,Southampton,D
1,Male,48.0,0,0,50.50,Cherbourg,D
1,Male,,0,0,39.60,Cherbourg,D
1,Female,44.0,0,0,27.72,Cherbourg,S
1,Female,59.0,2,0,51.48,Southampton,S
1,Female,60.0,0,0,76.29,Cherbourg,S
1,Female,41.0,0,0,134.50,Cherbourg,S
1,Male,45.0,0,0,26.55,Southampton,D
1,Male,,0,0,31.00,Southampton,D
1,Male,42.0,0,0,26.29,Southampton,S
1,Female,53.0,0,0,27.45,Cherbourg,S
1,Male,36.0,0,1,512.33,Cherbourg,S
1,Female,58.0,0,1,512.33,Cherbourg,S
1,Male,33.0,0,0,5.00,Southampton,D
1,Male,28.0,0,0,47.10,Southampton,D
1,Male,17.0,0,0,47.10,Southampton,D
1,Male,11.0,1,2,120.00,Southampton,S
1,Female,14.0,1,2,120.00,Southampton,S
1,Male,36.0,1,2,120.00,Southampton,S
1,Female,36.0,1,2,120.00,Southampton,S
1,Male,49.0,0,0,26.00,Southampton,D
1,Female,,0,0,27.72,Cherbourg,S
1,Male,36.0,1,0,78.85,Southampton,D
1,Female,76.0,1,0,78.85,Southampton,S
1,Male,46.0,1,0,61.18,Southampton,D
1,Female,47.0,1,0,61.18,Southampton,S
1,Male,27.0,1,0,53.10,Southampton,S
1,Female,33.0,1,0,53.10,Southampton,S
1,Female,36.0,0,0,262.38,Cherbourg,S
1,Female,30.0,0,0,86.50,Southampton,S
1,Male,45.0,0,0,29.70,Cherbourg,S
1,Female,,0,1,55.00,Southampton,S
1,Male,,0,0,0.00,Southampton,D
1,Male,27.0,1,0,136.78,Cherbourg,D
1,Female,26.0,1,0,136.78,Cherbourg,S
1,Female,22.0,0,0,151.55,Southampton,S
1,Male,,0,0,52.00,Southampton,D
1,Male,47.0,0,0,25.59,Southampton,D
1,Female,39.0,1,1,83.16,Cherbourg,S
1,Male,37.0,1,1,83.16,Cherbourg,D
1,Female,64.0,0,2,83.16,Cherbourg,S
1,Female,55.0,2,0,25.70,Southampton,S
1,Male,,0,0,26.55,Southampton,D
1,Male,70.0,1,1,71.00,Southampton,D
1,Female,36.0,0,2,71.00,Southampton,S
1,Female,64.0,1,1,26.55,Southampton,S
1,Male,39.0,1,0,71.28,Cherbourg,D
1,Female,38.0,1,0,71.28,Cherbourg,S
1,Male,51.0,0,0,26.55,Southampton,S
1,Male,27.0,0,0,30.50,Southampton,S
1,Female,33.0,0,0,151.55,Southampton,S
1,Male,31.0,1,0,52.00,Southampton,D
1,Female,27.0,1,2,52.00,Southampton,S
1,Male,31.0,1,0,57.00,Southampton,S
1,Female,17.0,1,0,57.00,Southampton,S
1,Male,53.0,1,1,81.86,Southampton,S
1,Male,4.0,0,2,81.86,Southampton,S
1,Female,54.0,1,1,81.86,Southampton,S
1,Male,50.0,1,0,106.43,Cherbourg,D
1,Female,27.0,1,1,247.52,Cherbourg,S
1,Female,48.0,1,0,106.43,Cherbourg,S
1,Female,48.0,1,0,39.60,Cherbourg,S
1,Male,49.0,1,0,56.93,Cherbourg,S
1,Male,39.0,0,0,29.70,Cherbourg,D
1,Female,23.0,0,1,83.16,Cherbourg,S
1,Female,38.0,0,0,227.53,Cherbourg,S
1,Female,54.0,1,0,78.27,Cherbourg,S
1,Female,36.0,0,0,31.68,Cherbourg,D
1,Male,,0,0,221.78,Southampton,D
1,Female,,0,0,31.68,Southampton,S
1,Female,,0,0,110.88,Cherbourg,S
1,Male,36.0,0,0,26.39,Southampton,S
1,Male,30.0,0,0,27.75,Cherbourg,D
1,Female,24.0,3,2,263.00,Southampton,S
1,Female,28.0,3,2,263.00,Southampton,S
1,Female,23.0,3,2,263.00,Southampton,S
1,Male,19.0,3,2,263.00,Southampton,D
1,Male,64.0,1,4,263.00,Southampton,D
1,Female,60.0,1,4,263.00,Southampton,S
1,Female,30.0,0,0,56.93,Cherbourg,S
1,Male,,0,0,26.55,Southampton,D
1,Male,50.0,2,0,133.65,Southampton,S
1,Male,43.0,1,0,27.72,Cherbourg,S
1,Female,,1,0,133.65,Southampton,S
1,Female,22.0,0,2,49.50,Cherbourg,S
1,Male,60.0,1,1,79.20,Cherbourg,S
1,Female,48.0,1,1,79.20,Cherbourg,S
1,Male,,0,0,0.00,Southampton,D
1,Male,37.0,1,0,53.10,Southampton,D
1,Female,35.0,1,0,53.10,Southampton,S
1,Male,47.0,0,0,38.50,Southampton,D
1,Female,35.0,0,0,211.50,Cherbourg,S
1,Female,22.0,0,1,59.40,Cherbourg,S
1,Female,45.0,0,1,59.40,Cherbourg,S
1,Male,24.0,0,0,79.20,Cherbourg,D
1,Male,49.0,1,0,89.10,Cherbourg,S
1,Female,,1,0,89.10,Cherbourg,S
1,Male,71.0,0,0,34.65,Cherbourg,D
1,Male,53.0,0,0,28.50,Cherbourg,S
1,Female,19.0,0,0,30.00,Southampton,S
1,Male,38.0,0,1,153.46,Southampton,D
1,Female,58.0,0,1,153.46,Southampton,S
1,Male,23.0,0,1,63.36,Cherbourg,S
1,Female,45.0,0,1,63.36,Cherbourg,S
1,Male,46.0,0,0,79.20,Cherbourg,D
1,Male,25.0,1,0,55.44,Cherbourg,S
1,Female,25.0,1,0,55.44,Cherbourg,S
1,Male,48.0,1,0,76.73,Cherbourg,S
1,Female,49.0,1,0,76.73,Cherbourg,S
1,Male,,0,0,42.40,Southampton,D
1,Male,45.0,1,0,83.48,Southampton,D
1,Female,35.0,1,0,83.48,Southampton,S
1,Male,40.0,0,0,0.00,Southampton,D
1,Male,27.0,0,0,76.73,Cherbourg,S
1,Male,,0,0,30.00,Southampton,S
1,Female,24.0,0,0,83.16,Cherbourg,S
1,Male,55.0,1,1,93.50,Southampton,D
1,Female,52.0,1,1,93.50,Southampton,S
1,Male,42.0,0,0,42.50,Southampton,D
1,Male,,0,0,51.86,Southampton,D
1,Male,55.0,0,0,50.00,Southampton,D
1,Female,16.0,0,1,57.98,Cherbourg,S
1,Female,44.0,0,1,57.98,Cherbourg,S
1,Female,51.0,1,0,77.96,Southampton,S
1,Male,42.0,1,0,52.00,Southampton,D
1,Female,35.0,1,0,52.00,Southampton,S
1,Male,35.0,0,0,26.55,Cherbourg,S
1,Male,38.0,1,0,90.00,Southampton,S
1,Male,,0,0,30.70,Cherbourg,D
1,Female,35.0,1,0,90.00,Southampton,S
1,Female,38.0,0,0,80.00,,S
1,Female,50.0,0,0,28.71,Cherbourg,D
1,Male,49.0,0,0,0.00,Southampton,S
1,Male,46.0,0,0,26.00,Southampton,D
1,Male,50.0,0,0,26.00,Southampton,D
1,Male,32.5,0,0,211.50,Cherbourg,D
1,Male,58.0,0,0,29.70,Cherbourg,D
1,Male,41.0,1,0,51.86,Southampton,D
1,Female,,1,0,51.86,Southampton,S
1,Male,42.0,1,0,52.55,Southampton,S
1,Female,45.0,1,0,52.55,Southampton,S
1,Male,,0,0,26.55,Southampton,D
1,Female,39.0,0,0,211.34,Southampton,S
1,Female,49.0,0,0,25.93,Southampton,S
1,Female,30.0,0,0,106.43,Cherbourg,S
1,Male,35.0,0,0,512.33,Cherbourg,S
1,Male,,0,0,27.72,Cherbourg,D
1,Male,42.0,0,0,26.55,Southampton,D
1,Female,55.0,0,0,27.72,Cherbourg,S
1,Female,16.0,0,1,39.40,Southampton,S
1,Female,51.0,0,1,39.40,Southampton,S
1,Male,29.0,0,0,30.00,Southampton,D
1,Female,21.0,0,0,77.96,Southampton,S
1,Male,30.0,0,0,45.50,Southampton,D
1,Female,58.0,0,0,146.52,Cherbourg,S
1,Female,15.0,0,1,211.34,Southampton,S
1,Male,30.0,0,0,26.00,Southampton,D
1,Female,16.0,0,0,86.50,Southampton,S
1,Male,,0,0,29.70,Cherbourg,S
1,Male,19.0,1,0,53.10,Southampton,D
1,Female,18.0,1,0,53.10,Southampton,S
1,Female,24.0,0,0,49.50,Cherbourg,S
1,Male,46.0,0,0,75.24,Cherbourg,D
1,Male,54.0,0,0,51.86,Southampton,D
1,Male,36.0,0,0,26.29,Southampton,S
1,Male,28.0,1,0,82.17,Cherbourg,D
1,Female,,1,0,82.17,Cherbourg,S
1,Male,65.0,0,0,26.55,Southampton,D
1,Male,44.0,2,0,90.00,Queenstown,D
1,Female,33.0,1,0,90.00,Queenstown,S
1,Female,37.0,1,0,90.00,Queenstown,S
1,Male,30.0,1,0,57.75,Cherbourg,S
1,Male,55.0,0,0,30.50,Southampton,D
1,Male,47.0,0,0,42.40,Southampton,D
1,Male,37.0,0,1,29.70,Cherbourg,D
1,Female,31.0,1,0,113.28,Cherbourg,S
1,Female,23.0,1,0,113.28,Cherbourg,S
1,Male,58.0,0,2,113.28,Cherbourg,D
1,Female,19.0,0,2,26.28,Southampton,S
1,Male,64.0,0,0,26.00,Southampton,D
1,Female,39.0,0,0,108.90,Cherbourg,S
1,Male,,0,0,25.74,Cherbourg,S
1,Female,22.0,0,1,61.98,Cherbourg,S
1,Male,65.0,0,1,61.98,Cherbourg,D
1,Male,28.5,0,0,27.72,Cherbourg,D
1,Male,,0,0,0.00,Southampton,D
1,Male,45.5,0,0,28.50,Southampton,D
1,Male,23.0,0,0,93.50,Southampton,D
1,Male,29.0,1,0,66.60,Southampton,D
1,Female,22.0,1,0,66.60,Southampton,S
1,Male,18.0,1,0,108.90,Cherbourg,D
1,Female,17.0,1,0,108.90,Cherbourg,S
1,Female,30.0,0,0,93.50,Southampton,S
1,Male,52.0,0,0,30.50,Southampton,S
1,Male,47.0,0,0,52.00,Southampton,D
1,Female,56.0,0,1,83.16,Cherbourg,S
1,Male,38.0,0,0,0.00,Southampton,D
1,Male,,0,0,39.60,Southampton,S
1,Male,22.0,0,0,135.63,Cherbourg,D
1,Male,,0,0,227.53,Cherbourg,D
1,Female,43.0,0,1,211.34,Southampton,S
1,Male,31.0,0,0,50.50,Southampton,D
1,Male,45.0,0,0,26.55,Southampton,S
1,Male,,0,0,50.00,Southampton,D
1,Female,33.0,0,0,27.72,Cherbourg,S
1,Male,46.0,0,0,79.20,Cherbourg,D
1,Male,36.0,0,0,40.13,Cherbourg,D
1,Female,33.0,0,0,86.50,Southampton,S
1,Male,55.0,1,0,59.40,Cherbourg,D
1,Female,54.0,1,0,59.40,Cherbourg,S
1,Male,33.0,0,0,26.55,Southampton,D
1,Male,13.0,2,2,262.38,Cherbourg,S
1,Female,18.0,2,2,262.38,Cherbourg,S
1,Female,21.0,2,2,262.38,Cherbourg,S
1,Male,61.0,1,3,262.38,Cherbourg,D
1,Female,48.0,1,3,262.38,Cherbourg,S
1,Male,,0,0,30.50,Southampton,S
1,Female,24.0,0,0,69.30,Cherbourg,S
1,Male,,0,0,26.00,Southampton,S
1,Female,35.0,1,0,57.75,Cherbourg,S
1,Female,30.0,0,0,31.00,Cherbourg,S
1,Male,34.0,0,0,26.55,Southampton,S
1,Female,40.0,0,0,153.46,Southampton,S
1,Male,35.0,0,0,26.29,Southampton,S
1,Male,50.0,1,0,55.90,Southampton,D
1,Female,39.0,1,0,55.90,Southampton,S
1,Male,56.0,0,0,35.50,Cherbourg,S
1,Male,28.0,0,0,35.50,Southampton,S
1,Male,56.0,0,0,26.55,Southampton,D
1,Male,56.0,0,0,30.70,Cherbourg,D
1,Male,24.0,1,0,60.00,Southampton,D
1,Male,,0,0,26.00,Southampton,D
1,Female,18.0,1,0,60.00,Southampton,S
1,Male,24.0,1,0,82.27,Southampton,S
1,Female,23.0,1,0,82.27,Southampton,S
1,Male,6.0,0,2,134.50,Cherbourg,S
1,Male,45.0,1,1,134.50,Cherbourg,S
1,Female,40.0,1,1,134.50,Cherbourg,S
1,Male,57.0,1,0,146.52,Cherbourg,D
1,Female,,1,0,146.52,Cherbourg,S
1,Male,32.0,0,0,30.50,Cherbourg,S
1,Male,62.0,0,0,26.55,Southampton,D
1,Male,54.0,1,0,55.44,Cherbourg,S
1,Female,43.0,1,0,55.44,Cherbourg,S
1,Female,52.0,1,0,78.27,Cherbourg,S
1,Male,,0,0,27.72,Cherbourg,D
1,Female,62.0,0,0,80.00,,S
1,Male,67.0,1,0,221.78,Southampton,D
1,Female,63.0,1,0,221.78,Southampton,D
1,Male,61.0,0,0,32.32,Southampton,D
1,Female,48.0,0,0,25.93,Southampton,S
1,Female,18.0,0,2,79.65,Southampton,S
1,Male,52.0,1,1,79.65,Southampton,D
1,Female,39.0,1,1,79.65,Southampton,S
1,Male,48.0,1,0,52.00,Southampton,S
1,Female,,1,0,52.00,Southampton,S
1,Male,49.0,1,1,110.88,Cherbourg,D
1,Male,17.0,0,2,110.88,Cherbourg,S
1,Female,39.0,1,1,110.88,Cherbourg,S
1,Female,,0,0,79.20,Cherbourg,S
1,Male,31.0,0,0,28.54,Cherbourg,S
1,Male,40.0,0,0,27.72,Cherbourg,D
1,Male,61.0,0,0,33.50,Southampton,D
1,Male,47.0,0,0,34.02,Southampton,D
1,Female,35.0,0,0,512.33,Cherbourg,S
1,Male,64.0,1,0,75.25,Cherbourg,D
1,Female,60.0,1,0,75.25,Cherbourg,S
1,Male,60.0,0,0,26.55,Southampton,D
1,Male,54.0,0,1,77.29,Southampton,D
1,Male,21.0,0,1,77.29,Southampton,D
1,Female,55.0,0,0,135.63,Cherbourg,S
1,Female,31.0,0,2,164.87,Southampton,S
1,Male,57.0,1,1,164.87,Southampton,D
1,Female,45.0,1,1,164.87,Southampton,S
1,Male,50.0,1,1,211.50,Cherbourg,D
1,Male,27.0,0,2,211.50,Cherbourg,D
1,Female,50.0,1,1,211.50,Cherbourg,S
1,Female,21.0,0,0,26.55,Southampton,S
1,Male,51.0,0,1,61.38,Cherbourg,D
1,Male,21.0,0,1,61.38,Cherbourg,S
1,Male,,0,0,35.00,Southampton,D
1,Female,31.0,0,0,134.50,Cherbourg,S
1,Male,,0,0,35.50,Southampton,S
1,Male,62.0,0,0,26.55,Southampton,D
1,Female,36.0,0,0,135.63,Cherbourg,S
2,Male,30.0,1,0,24.00,Cherbourg,D
2,Female,28.0,1,0,24.00,Cherbourg,S
2,Male,30.0,0,0,13.00,Southampton,D
2,Male,18.0,0,0,11.50,Southampton,D
2,Male,25.0,0,0,10.50,Southampton,D
2,Male,34.0,1,0,26.00,Southampton,D
2,Female,36.0,1,0,26.00,Southampton,S
2,Male,57.0,0,0,13.00,Southampton,D
2,Male,18.0,0,0,11.50,Southampton,D
2,Male,23.0,0,0,10.50,Southampton,D
2,Female,36.0,0,0,13.00,Southampton,S
2,Male,28.0,0,0,10.50,Southampton,D
2,Male,51.0,0,0,12.53,Southampton,D
2,Male,32.0,1,0,26.00,Southampton,S
2,Female,19.0,1,0,26.00,Southampton,S
2,Male,28.0,0,0,26.00,Southampton,D
2,Male,1.0,2,1,39.00,Southampton,S
2,Female,4.0,2,1,39.00,Southampton,S
2,Female,12.0,2,1,39.00,Southampton,S
2,Female,36.0,0,3,39.00,Southampton,S
2,Male,34.0,0,0,13.00,Southampton,S
2,Female,19.0,0,0,13.00,Southampton,S
2,Male,23.0,0,0,13.00,Southampton,D
2,Male,26.0,0,0,13.00,Southampton,D
2,Male,42.0,0,0,13.00,Southampton,D
2,Male,27.0,0,0,13.00,Southampton,D
2,Female,24.0,0,0,13.00,Southampton,S
2,Female,15.0,0,2,39.00,Southampton,S
2,Male,60.0,1,1,39.00,Southampton,D
2,Female,40.0,1,1,39.00,Southampton,S
2,Female,20.0,1,0,26.00,Southampton,S
2,Male,25.0,1,0,26.00,Southampton,D
2,Female,36.0,0,0,13.00,Southampton,S
2,Male,25.0,0,0,13.00,Southampton,D
2,Male,42.0,0,0,13.00,Southampton,D
2,Female,42.0,0,0,13.00,Southampton,S
2,Male,0.8,0,2,29.00,Southampton,S
2,Male,26.0,1,1,29.00,Southampton,S
2,Female,22.0,1,1,29.00,Southampton,S
2,Female,35.0,0,0,21.00,Southampton,S
2,Male,,0,0,0.00,Southampton,D
2,Male,19.0,0,0,13.00,Southampton,D
2,Female,44.0,1,0,26.00,Southampton,D
2,Male,54.0,1,0,26.00,Southampton,D
2,Male,52.0,0,0,13.50,Southampton,D
2,Male,37.0,1,0,26.00,Southampton,D
2,Female,29.0,1,0,26.00,Southampton,D
2,Female,25.0,1,1,30.00,Southampton,S
2,Female,45.0,0,2,30.00,Southampton,S
2,Male,29.0,1,0,26.00,Southampton,D
2,Female,28.0,1,0,26.00,Southampton,S
2,Male,29.0,0,0,10.50,Southampton,D
2,Male,28.0,0,0,13.00,Southampton,D
2,Male,24.0,0,0,10.50,Southampton,S
2,Female,8.0,0,2,26.25,Southampton,S
2,Male,31.0,1,1,26.25,Southampton,D
2,Female,31.0,1,1,26.25,Southampton,S
2,Female,22.0,0,0,10.50,Southampton,S
2,Female,30.0,0,0,13.00,Southampton,D
2,Female,,0,0,21.00,Southampton,D
2,Male,21.0,0,0,11.50,Southampton,D
2,Male,,0,0,0.00,Southampton,D
2,Male,8.0,1,1,36.75,Southampton,S
2,Male,18.0,0,0,73.50,Southampton,D
2,Female,48.0,0,2,36.75,Southampton,S
2,Female,28.0,0,0,13.00,Southampton,S
2,Male,32.0,0,0,13.00,Southampton,D
2,Male,17.0,0,0,73.50,Southampton,D
2,Male,29.0,1,0,27.72,Cherbourg,D
2,Female,24.0,1,0,27.72,Cherbourg,S
2,Male,25.0,0,0,31.50,Southampton,D
2,Male,18.0,0,0,73.50,Southampton,D
2,Female,18.0,0,1,23.00,Southampton,S
2,Female,34.0,0,1,23.00,Southampton,S
2,Male,54.0,0,0,26.00,Southampton,D
2,Male,8.0,0,2,32.50,Southampton,S
2,Male,42.0,1,1,32.50,Southampton,D
2,Female,34.0,1,1,32.50,Southampton,S
2,Female,27.0,1,0,13.86,Cherbourg,S
2,Female,30.0,1,0,13.86,Cherbourg,S
2,Male,23.0,0,0,13.00,Southampton,D
2,Male,21.0,0,0,13.00,Southampton,D
2,Male,18.0,0,0,13.00,Southampton,D
2,Male,40.0,1,0,26.00,Southampton,D
2,Female,29.0,1,0,26.00,Southampton,S
2,Male,18.0,0,0,10.50,Southampton,D
2,Male,36.0,0,0,13.00,Southampton,D
2,Male,,0,0,0.00,Southampton,D
2,Female,38.0,0,0,13.00,Southampton,D
2,Male,35.0,0,0,26.00,Southampton,D
2,Male,38.0,1,0,21.00,Southampton,D
2,Male,34.0,1,0,21.00,Southampton,D
2,Female,34.0,0,0,13.00,Southampton,S
2,Male,16.0,0,0,26.00,Southampton,D
2,Male,26.0,0,0,10.50,Southampton,D
2,Male,47.0,0,0,10.50,Southampton,D
2,Male,21.0,1,0,11.50,Southampton,D
2,Male,21.0,1,0,11.50,Southampton,D
2,Male,24.0,0,0,13.50,Southampton,D
2,Male,24.0,0,0,13.00,Southampton,D
2,Male,34.0,0,0,13.00,Southampton,D
2,Male,30.0,0,0,13.00,Southampton,D
